userName,score,at,content
Putry donggi,1,2022-01-18 22:26:50,Susah cri pengemudi saat cuaca hujan
21 114 Sukma abdil mahbub,5,2022-01-18 22:16:25,mantep
Putra Isham,5,2022-01-18 19:41:21,good
LYRIQUE PROJECT,5,2022-01-18 19:26:35,pengemudi sangat ramah
evan predator,5,2022-01-18 18:41:17,sangaaaatt baik dan jujur terpercaya respon pelayanan baik maksi
Ihsan Salele,5,2022-01-18 18:25:49,Mantap
Rully Egi,5,2022-01-18 18:20:48,good job
suriyat nurjana,5,2022-01-18 17:50:18,👌👌👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Muhammad Zainul Ma'arif Firdaus,5,2022-01-18 17:37:31,Harga yang sangat terjangkau bagi konsumen ketimbang Ojol sebelah. Next masukin juga fitur dompet online dan munculin menu yang lebih banyak seperti food nya jadi bisa pesen makanan lebih gampang
Israh Israh,1,2022-01-18 17:22:25,mantap
Mahmud Tue,5,2022-01-18 17:18:41,mksh pak. so antar sampe rumah
Tarko Koko,4,2022-01-18 17:13:29,Layanan bagus...mkcih
Uli Sitompul,5,2022-01-18 17:13:21,keren
Item Putih,5,2022-01-18 16:54:18,mantabs bro
Junita Manik,4,2022-01-18 16:46:02,😐
RGONE MAPA,4,2022-01-18 16:41:25,Sangat membantu
doni Nafala12,5,2022-01-18 16:40:15,saya suka saya suka
Mank Dadank Teak,1,2022-01-18 16:39:54,pengemudi minta tambah ongkos diluar aplikasi an miftahul khoir mbil ertiga putih
Nina Ariesta,5,2022-01-18 16:38:56,baik
Jk Bangtan,5,2022-01-18 16:36:42,"murah, ramah, dan baik"
Dewi Dewi,5,2022-01-18 16:27:20,sangat mantap
Aconk Hasan,5,2022-01-18 16:16:16,selalu ada diingatan setiap saat
Ningsih Kharisma,5,2022-01-18 16:02:35,terima kasih
Rendy ChennelYou,5,2022-01-18 15:48:32,mantap
Pramita Mutia,3,2022-01-18 15:43:47,"Malesnya klo naik yg mobil,,ac nya selalu sengaja dimatiin dgn alasan ""lg d perbaiki ka"" gk semua emank,tp hampir tiap naik yg mobil gt semua Sementang lbh murah dr yg sblh,y gk gt jg ma penumpangnya dunk.."
oky dewantara,5,2022-01-18 15:38:59,terima kasih
Azka Raffasya,5,2022-01-18 15:31:22,sangat baik ...
Maria Okvisila Dayu Poerba,1,2022-01-18 15:22:07,"Pelayanan membuat saya kurang senang. Ada 1 pangendara yang sering saya dapat dan dia sangat tidak berkompeten. Dia tidak memakai seragam maxim yang seharusnya, tapi memakai jaket mitra lain, yang membuat saya kurang nyaman. Saya Sangat Menyesal sering mendapatkan Pengendara itu, yang tidak berkompeten. Dengan Nama Sugiyarto dengan nopol AD4311RO. Tolong ditindak lanjuti. Sangat tidak memuaskan."
Iyus Rusli,5,2022-01-18 15:16:29,"mantap, sopir nya sopan dan perhatian"
Heka surya nugraha Heka,5,2022-01-18 15:04:40,mantapppp cpt sampai
Suwarni Uti,5,2022-01-18 14:54:31,terimakasih pak
Sangapta Ginting,5,2022-01-18 14:51:47,mantap gan
AZHAR,5,2022-01-18 14:43:16,mantabb
Amel Lakoro,5,2022-01-18 14:41:56,draver baik
Riapurnama Sari,5,2022-01-18 14:40:00,Sopan & cepat
Rama LT,5,2022-01-18 14:35:34,mantap
Muh Beck,1,2022-01-18 14:28:58,Saya mau melapor pada pihak maxim agar memberikan hukuman kepada pengemudi yang bernama Sahril dengan nomor plat kendaraan B 1170 FIT mobil Sigra warna hitam karena membawa kendaraan dengan ugal ugalan dan tidak ramah kepada penumpang. Tolong untuk pihak maxim agar di tindak lanjuti .
Yanto Napu,5,2022-01-18 14:28:40,Suka
Selfy Asmarani,1,2022-01-18 14:19:27,"nyesel naik maxim.. masa iyaaa sy bayarnya jadi 80 lebih padahal dri 37 ribu grab aja jatuhnya paling mahal tanpa promo cuman 50'an, tau gitu gw naik grab aja tadi.. drivernya jg yaaaa ampun bikin emosi bertele-tele banget.., harusnya bilang aja kalau minta ditambah biayanya... ini giliran gue berbaik hati mau nambah ehhh mintanya busyet jauh banget.. padahal gue sering naik maxim tpi baru kali ini dapat driver yg kya gini.."
Ceik chen,5,2022-01-18 14:12:50,keren
Widya Ningsih,5,2022-01-18 14:10:07,"mksh yah mas ujan"" mau nganterin smoga bnyak rezekinya yah amiin 🤲🤲"
Hendry Candra,5,2022-01-18 14:05:46,bagus
ali 93,5,2022-01-18 14:04:15,ok
Yudi Mulyadi,5,2022-01-18 14:02:30,mantap
Dede Indra,5,2022-01-18 14:01:49,drivernya ramah. Mudah digunakan.
Choirum Alfi,5,2022-01-18 13:49:31,murah tapi maps nya agak susah
Aldho Ajh,5,2022-01-18 13:38:24,ramah
Agus Ariyansah,2,2022-01-18 13:36:41,"Kemaren w kasih bintang 5, sekarang w turunin jdi 2, sudah kesekian kalinya tiap order selalu dpt driver yg jaraknya jauh, padahal yg deket banyak.👎"
Arif Sunandar07,4,2022-01-18 13:34:20,Mantap aplikasinya cocok untuk transportasi
Ade Solihin,5,2022-01-18 13:28:15,deiver nya ok... experience...
Astari Andriani,5,2022-01-18 13:24:18,sangat bagus
indro wasito,5,2022-01-18 13:17:42,"sehat terus pak,, dan dimudahkan rezekinya aamiin"
Wulan Daud,5,2022-01-18 13:16:39,ramah
ferdi ali,5,2022-01-18 13:07:36,baik sekali
Rahma rahma,1,2022-01-18 13:06:30,kurang ajar
Fitri Fitri,5,2022-01-18 13:04:54,"pelayanan sangat bagus, dan ramah"
Rhedo Afrian,5,2022-01-18 12:40:44,drevernya ramah
Alunan nirwana Matahari,5,2022-01-18 12:37:07,mksh mas
Lisna Waruwu,5,2022-01-18 12:30:01,Thankyou
Nayla Asyfa,5,2022-01-18 12:26:19,Bagus sekali
austin almayda,5,2022-01-18 12:08:06,Harganya bersahabat banget.. Fast respon juga..
